date,year,team,win_pct,attendance,attendance%,num_home_game,opp,opp_win_pct,start_time,cli
2012-04-06,2012,ARI,1.0,49130.0,100.0,1,SFG,0.0,Day,1.04
2012-04-07,2012,ARI,1.0,34789.0,71.53,2,SFG,0.0,Day,1.11
2012-04-08,2012,ARI,1.0,24193.0,49.75,3,SFG,0.0,Day,1.16
2012-04-16,2012,ARI,0.7,17366.0,35.71,4,PIT,0.3,Night,1.05
2012-04-17,2012,ARI,0.64,19198.0,39.48,5,PIT,0.36,Night,1.08
2012-04-18,2012,ARI,0.58,18368.0,37.77,6,PIT,0.42,Day,1.08
2012-04-19,2012,ARI,0.54,18110.0,37.24,7,ATL,0.62,Night,1.05
2012-04-20,2012,ARI,0.5,27761.0,57.08,8,ATL,0.64,Night,0.98
2012-04-21,2012,ARI,0.47,30188.0,62.07,9,ATL,0.67,Night,0.9
2012-04-22,2012,ARI,0.5,28679.0,58.97,10,ATL,0.62,Day,0.9
2012-04-23,2012,ARI,0.53,21195.0,43.58,11,PHI,0.41,Night,0.87
2012-04-24,2012,ARI,0.5,24213.0,49.79,12,PHI,0.44,Night,0.93
2012-04-25,2012,ARI,0.47,25934.0,53.33,13,PHI,0.47,Day,0.95
2012-05-07,2012,ARI,0.47,26447.0,54.38,14,STL,0.62,Night,0.95
2012-05-08,2012,ARI,0.45,30156.0,62.01,15,STL,0.63,Night,0.92
2012-05-09,2012,ARI,0.44,27710.0,56.98,16,STL,0.65,Night,0.81
2012-05-11,2012,ARI,0.45,35792.0,73.6,17,SFG,0.47,Night,0.88
2012-05-12,2012,ARI,0.44,31719.0,65.22,18,SFG,0.48,Night,0.92
2012-05-13,2012,ARI,0.43,35430.0,72.85,19,SFG,0.5,Day,0.86
2012-05-21,2012,ARI,0.44,24768.0,50.93,20,LAD,0.69,Night,0.89
2012-05-22,2012,ARI,0.43,25738.0,52.92,21,LAD,0.7,Night,0.73
2012-05-23,2012,ARI,0.44,27645.0,56.84,22,LAD,0.68,Night,0.62
2012-05-25,2012,ARI,0.43,35478.0,72.95,23,MIL,0.42,Night,0.57
2012-05-26,2012,ARI,0.45,30184.0,62.06,24,MIL,0.41,Night,0.55
2012-05-27,2012,ARI,0.46,33481.0,68.84,25,MIL,0.4,Day,0.58
2012-06-04,2012,ARI,0.45,22881.0,47.05,26,COL,0.44,Night,0.66
2012-06-05,2012,ARI,0.46,22322.0,45.9,27,COL,0.44,Night,0.59
2012-06-06,2012,ARI,0.47,23069.0,47.43,28,COL,0.43,Night,0.66
2012-06-08,2012,ARI,0.48,25787.0,53.02,29,OAK,0.44,Night,0.62
2012-06-09,2012,ARI,0.49,28061.0,57.7,30,OAK,0.43,Night,0.68
2012-06-10,2012,ARI,0.5,28112.0,57.8,31,OAK,0.43,Day,0.71
2012-06-18,2012,ARI,0.49,24284.0,49.93,32,SEA,0.42,Night,0.72
2012-06-19,2012,ARI,0.49,21568.0,44.35,33,SEA,0.43,Night,0.75
2012-06-20,2012,ARI,0.49,29630.0,60.93,34,SEA,0.42,Day,0.76
2012-06-22,2012,ARI,0.5,34654.0,71.26,35,CHC,0.34,Night,0.88
2012-06-23,2012,ARI,0.51,38542.0,79.25,36,CHC,0.34,Night,0.91
2012-06-24,2012,ARI,0.51,33448.0,68.78,37,CHC,0.33,Day,0.9
2012-07-02,2012,ARI,0.49,19633.0,40.37,38,SDP,0.38,Night,1.07
2012-07-03,2012,ARI,0.49,21329.0,43.86,39,SDP,0.39,Night,0.96
2012-07-04,2012,ARI,0.48,48819.0,100.0,40,SDP,0.4,Night,0.88
2012-07-05,2012,ARI,0.48,23002.0,47.3,41,LAD,0.56,Night,1.0
2012-07-06,2012,ARI,0.48,24891.0,51.18,42,LAD,0.55,Night,0.85
2012-07-07,2012,ARI,0.49,36903.0,75.88,43,LAD,0.55,Night,0.95
2012-07-08,2012,ARI,0.49,30523.0,62.76,44,LAD,0.54,Day,1.1
2012-07-20,2012,ARI,0.48,23567.0,48.46,45,HOU,0.36,Night,0.67
2012-07-21,2012,ARI,0.49,35665.0,73.33,46,HOU,0.36,Night,0.7
2012-07-22,2012,ARI,0.49,20951.0,43.08,47,HOU,0.35,Day,0.76
2012-07-23,2012,ARI,0.5,20056.0,41.24,48,COL,0.38,Night,0.8
2012-07-24,2012,ARI,0.51,20432.0,42.01,49,COL,0.38,Night,0.84
2012-07-25,2012,ARI,0.5,23385.0,48.08,50,COL,0.38,Night,0.9
2012-07-26,2012,ARI,0.49,22010.0,45.26,51,NYM,0.48,Night,0.85
2012-07-27,2012,ARI,0.5,23150.0,47.6,52,NYM,0.48,Night,0.76
2012-07-28,2012,ARI,0.5,33759.0,69.42,53,NYM,0.48,Night,0.83
2012-07-29,2012,ARI,0.5,32134.0,66.07,54,NYM,0.48,Day,0.96
2012-08-10,2012,ARI,0.5,29362.0,60.37,55,WSN,0.62,Night,1.06
2012-08-11,2012,ARI,0.5,34030.0,69.97,56,WSN,0.62,Night,0.9
2012-08-12,2012,ARI,0.5,27345.0,56.23,57,WSN,0.62,Day,0.76
2012-08-20,2012,ARI,0.51,17707.0,36.41,58,MIA,0.46,Night,0.88
2012-08-21,2012,ARI,0.5,17434.0,35.85,59,MIA,0.46,Night,0.8
2012-08-22,2012,ARI,0.51,17239.0,35.45,60,MIA,0.46,Day,0.7
2012-08-22,2012,ARI,0.51,17239.0,35.45,61,MIA,0.45,Day,0.7
2012-08-22,2012,ARI,0.51,20027.0,41.18,62,MIA,0.46,Night,0.77
2012-08-22,2012,ARI,0.51,20027.0,41.18,63,MIA,0.45,Night,0.77
2012-08-24,2012,ARI,0.51,32726.0,67.29,64,SDP,0.45,Night,0.78
2012-08-25,2012,ARI,0.5,27619.0,56.79,65,SDP,0.45,Night,0.58
2012-08-26,2012,ARI,0.5,28172.0,57.93,66,SDP,0.46,Day,0.46
2012-08-27,2012,ARI,0.5,17966.0,36.94,67,CIN,0.6,Night,0.41
2012-08-28,2012,ARI,0.49,20550.0,42.26,68,CIN,0.6,Night,0.34
