team,city,year,population,median_age,median_household_income,average_household_size,pct_public_transit,pct_car,pct_walk,poverty_rate,payroll_est
ARI,Arizona Diamondbacks,2012,1488759.0,32.9,44153.0,2.8,3.2,87.3,1.8,24.1,67069833
ARI,Arizona Diamondbacks,2013,1513350.0,32.8,46601.0,2.9,4.0,86.8,1.8,23.6,80060500
ARI,Arizona Diamondbacks,2014,1537045.0,33.2,47929.0,2.9,3.4,86.1,1.9,23.3,89926500
ARI,Arizona Diamondbacks,2015,1563001.0,33.8,48452.0,2.9,3.5,87.1,1.8,22.3,64434000
ARI,Arizona Diamondbacks,2016,1615041.0,33.4,52062.0,2.9,3.0,87.3,1.6,20.3,78399500
ARI,Arizona Diamondbacks,2017,1626085.0,33.8,56696.0,2.9,2.8,87.4,1.6,16.8,106580200
ARI,Arizona Diamondbacks,2018,1660272.0,33.5,57957.0,2.9,3.0,87.0,1.4,15.6,134850600
ARI,Arizona Diamondbacks,2019,1680988.0,34.4,60931.0,2.8,2.9,86.7,1.5,15.6,124016266
OAK,Oakland Athletics,2012,400740.0,36.3,48196.0,2.5,19.2,66.1,4.3,22.0,61202500
OAK,Oakland Athletics,2013,406228.0,36.0,54394.0,2.6,18.4,65.7,4.1,19.5,69440000
OAK,Oakland Athletics,2014,413782.0,36.2,56188.0,2.6,20.5,63.2,4.3,20.1,89160900
OAK,Oakland Athletics,2015,419278.0,35.7,58807.0,2.6,22.7,62.5,3.4,19.8,64016001
OAK,Oakland Athletics,2016,419987.0,36.5,68060.0,2.6,21.9,61.9,3.7,18.9,54969067
OAK,Oakland Athletics,2017,425204.0,36.7,70577.0,2.6,22.7,61.4,4.5,15.3,51560000
OAK,Oakland Athletics,2018,429114.0,36.8,76469.0,2.6,24.0,60.7,3.9,13.8,69883333
OAK,Oakland Athletics,2019,433044.0,36.9,82018.0,2.5,25.6,59.6,3.2,13.9,102935833
ATL,Atlanta Braves,2012,443768.0,33.1,46466.0,2.2,10.6,73.1,5.9,25.8,86208000
ATL,Atlanta Braves,2013,447848.0,33.1,46485.0,2.2,8.9,77.3,4.2,24.8,95618750
ATL,Atlanta Braves,2014,456012.0,33.5,46777.0,2.2,10.6,76.3,4.6,23.8,108081500
ATL,Atlanta Braves,2015,463875.0,33.8,50210.0,2.2,10.1,76.3,4.3,22.5,104037500
ATL,Atlanta Braves,2016,472506.0,33.0,53843.0,2.3,10.4,74.4,4.4,22.4,74999750
ATL,Atlanta Braves,2017,486299.0,33.3,57597.0,2.3,11.1,73.5,4.6,19.3,119705250
ATL,Atlanta Braves,2018,498073.0,33.2,65345.0,2.2,10.0,71.0,5.3,20.2,115848667
ATL,Atlanta Braves,2019,506804.0,33.3,66657.0,2.1,10.0,71.4,5.6,20.2,133186667
BAL,Baltimore Orioles,2012,621342.0,34.2,39241.0,2.4,19.2,67.9,6.8,24.8,77949000
BAL,Baltimore Orioles,2013,622104.0,34.6,42266.0,2.4,18.8,70.5,6.4,23.3,100832000
BAL,Baltimore Orioles,2014,622793.0,34.6,42665.0,2.5,18.6,70.0,6.6,23.6,109097500
BAL,Baltimore Orioles,2015,621849.0,34.7,44165.0,2.5,19.6,67.0,7.0,22.9,112989833
BAL,Baltimore Orioles,2016,614664.0,34.9,47350.0,2.5,17.3,68.9,6.7,21.9,153744833
BAL,Baltimore Orioles,2017,611648.0,35.3,47131.0,2.4,18.8,67.3,6.6,22.2,161621633
BAL,Baltimore Orioles,2018,602495.0,35.5,51000.0,2.4,16.2,71.5,5.6,18.4,141555833
BAL,Baltimore Orioles,2019,593490.0,35.9,50177.0,2.3,15.4,70.6,6.6,20.2,82696100
BOS,Boston Red Sox,2012,637516.0,31.0,51642.0,2.4,34.6,43.8,15.5,21.6,110386000
BOS,Boston Red Sox,2013,644710.0,31.7,53583.0,2.4,33.0,46.0,14.5,21.6,175395500
BOS,Boston Red Sox,2014,656051.0,31.7,56902.0,2.4,34.0,44.6,14.3,22.6,134628929
BOS,Boston Red Sox,2015,669469.0,31.8,58263.0,2.4,34.5,43.1,16.7,20.5,183931900
BOS,Boston Red Sox,2016,672840.0,32.1,63621.0,2.3,32.8,46.0,13.5,21.0,218682750
BOS,Boston Red Sox,2017,683015.0,32.3,66758.0,2.4,35.0,43.6,14.3,18.7,200550750
BOS,Boston Red Sox,2018,695926.0,32.1,71834.0,2.4,32.2,44.6,15.4,18.2,222205000
BOS,Boston Red Sox,2019,694295.0,32.6,79018.0,2.4,32.0,42.8,16.8,17.1,218978142
CHW,Chicago White Sox,2012,2714844.0,33.6,45214.0,2.6,26.3,59.5,6.9,23.9,118208000
CHW,Chicago White Sox,2013,2718789.0,33.7,47099.0,2.6,27.8,58.2,6.7,23.0,81401900
CHW,Chicago White Sox,2014,2722407.0,33.9,48734.0,2.6,28.2,57.3,6.7,22.0,87475500
CHW,Chicago White Sox,2015,2720556.0,34.2,50702.0,2.5,28.3,57.1,6.7,20.9,112889700
CHW,Chicago White Sox,2016,2704965.0,34.4,53006.0,2.5,28.2,57.0,6.6,19.1,113416000
CHW,Chicago White Sox,2017,2716462.0,34.6,55295.0,2.5,28.3,56.2,6.6,18.6,97842000
CHW,Chicago White Sox,2018,2705988.0,34.9,57238.0,2.5,28.3,57.2,5.6,17.4,75092000
CHW,Chicago White Sox,2019,2693959.0,35.2,61811.0,2.4,28.4,55.4,6.6,16.4,80846333
CHC,Chicago Cubs,2012,2714844.0,33.6,45214.0,2.6,26.3,59.5,6.9,23.9,86159366
CHC,Chicago Cubs,2013,2718789.0,33.7,47099.0,2.6,27.8,58.2,6.7,23.0,67874166
CHC,Chicago Cubs,2014,2722407.0,33.9,48734.0,2.6,28.2,57.3,6.7,22.0,59800500
CHC,Chicago Cubs,2015,2720556.0,34.2,50702.0,2.5,28.3,57.1,6.7,20.9,115306610
CHC,Chicago Cubs,2016,2704965.0,34.4,53006.0,2.5,28.2,57.0,6.6,19.1,176097333
CHC,Chicago Cubs,2017,2716462.0,34.6,55295.0,2.5,28.3,56.2,6.6,18.6,177210667
CHC,Chicago Cubs,2018,2705988.0,34.9,57238.0,2.5,28.3,57.2,5.6,17.4,205373881
CHC,Chicago Cubs,2019,2693959.0,35.2,61811.0,2.4,28.4,55.4,6.6,16.4,220305215
CIN,Cincinnati Reds,2012,296552.0,32.0,30188.0,2.2,6.7,82.3,5.5,34.1,80309500
CIN,Cincinnati Reds,2013,297498.0,32.5,34605.0,2.1,8.2,80.9,5.1,31.3,106255535
CIN,Cincinnati Reds,2014,298162.0,33.0,32688.0,2.1,9.2,77.7,6.4,30.0,102230000
CIN,Cincinnati Reds,2015,298537.0,32.7,35001.0,2.1,7.5,81.3,5.5,27.4,111572286
CIN,Cincinnati Reds,2016,298802.0,32.2,38539.0,2.1,8.1,79.3,5.6,26.0,77329561
CIN,Cincinnati Reds,2017,301305.0,32.7,38938.0,2.0,7.9,81.1,5.8,27.7,79315786
CIN,Cincinnati Reds,2018,302615.0,33.0,43585.0,2.1,6.9,80.7,5.5,25.2,94587500
CIN,Cincinnati Reds,2019,303954.0,32.5,46260.0,2.1,5.4,81.8,6.1,23.1,109737499
CLE,Cleveland Guardians,2012,390923.0,35.8,24257.0,2.3,10.3,79.4,5.6,36.1,78911300
CLE,Cleveland Guardians,2013,390106.0,34.9,26096.0,2.3,10.8,80.4,4.2,36.9,87342433
CLE,Cleveland Guardians,2014,389524.0,34.8,24701.0,2.3,10.8,79.4,5.4,39.2,73509399
CLE,Cleveland Guardians,2015,388059.0,36.0,28831.0,2.2,10.8,79.8,5.4,34.7,59163766
CLE,Cleveland Guardians,2016,385810.0,36.4,27551.0,2.2,10.3,78.8,5.8,35.0,94511067
CLE,Cleveland Guardians,2017,385552.0,36.2,28974.0,2.2,8.6,83.2,3.9,33.1,114427167
CLE,Cleveland Guardians,2018,383781.0,36.3,29953.0,2.1,10.3,79.7,4.9,33.1,143375233
CLE,Cleveland Guardians,2019,380989.0,35.5,32053.0,2.1,8.2,79.8,5.4,30.8,151257783
COL,Colorado Rockies,2012,634265.0,33.7,50488.0,2.3,7.2,77.4,5.0,19.2,75485000
COL,Colorado Rockies,2013,649495.0,34.1,51089.0,2.3,7.4,78.1,4.5,18.7,73768000
COL,Colorado Rockies,2014,663862.0,34.2,54941.0,2.3,7.4,79.0,4.1,15.7,95403500
COL,Colorado Rockies,2015,682545.0,34.1,58003.0,2.3,6.1,79.8,4.0,15.6,96438600
COL,Colorado Rockies,2016,693060.0,34.4,61105.0,2.3,6.3,77.6,4.5,13.7,89707000
COL,Colorado Rockies,2017,704621.0,34.5,65224.0,2.3,6.7,75.9,4.4,12.2,106650000
COL,Colorado Rockies,2018,716492.0,34.6,68377.0,2.3,5.9,76.3,5.1,11.3,136658500
COL,Colorado Rockies,2019,727211.0,34.7,75646.0,2.2,7.6,74.4,5.5,11.7,145348500
DET,Detroit Tigers,2012,701524.0,35.1,23600.0,2.7,9.4,81.6,3.7,42.3,131394000
