Year,Team,att_total,attend_per_game,payroll_est,ballpark_name,Capacity
2019,ARI,2135510,26364,124016266,Chase Field,48519
2018,ARI,2242695,27688,134850600,Chase Field,48633
2017,ARI,2134375,26350,106580200,Chase Field,48633
2016,ARI,2036216,25138,78399500,Chase Field,48633
2015,ARI,2080145,25681,64434000,Chase Field,48633
2014,ARI,2073730,25602,89926500,"Chase Field, Sydney Cricket Grounds",48633
2013,ARI,2134895,26357,80060500,Chase Field,48633
2012,ARI,2177617,26884,67069833,Chase Field,48633
2019,ATL,2654920,32777,133186667,SunTrust Park,41149
2018,ATL,2555781,31553,115848667,SunTrust Park,41149
2017,ATL,2505252,30929,119705250,SunTrust Park,41149
2016,ATL,2020914,24950,74999750,"Turner Field, Fort Bragg Park",49586
2015,ATL,2001392,24709,104037500,Turner Field,49586
2014,ATL,2354305,29065,108081500,Turner Field,49586
2013,ATL,2548679,31465,95618750,Turner Field,49586
2012,ATL,2420171,29879,86208000,Turner Field,49586
2019,BAL,1307807,16146,82696100,Oriole Park at Camden Yards,45971
2018,BAL,1564192,19311,141555833,Oriole Park at Camden Yards,45971
2017,BAL,2028424,25042,161621633,Oriole Park at Camden Yards,45971
2016,BAL,2172344,26819,153744833,Oriole Park at Camden Yards,45971
2015,BAL,2281202,29246,112989833,Oriole Park at Camden Yards,45971
2014,BAL,2464473,30426,109097500,Oriole Park at Camden Yards,45971
2013,BAL,2357561,29106,100832000,Oriole Park at Camden Yards,45971
2012,BAL,2102240,25954,77949000,Oriole Park at Camden Yards,45971
2019,BOS,2915502,35994,218978142,Fenway Park,37731
2018,BOS,2895575,35748,222205000,Fenway Park,37949
2017,BOS,2917678,36021,200550750,Fenway Park,37949
2016,BOS,2955434,36487,218682750,Fenway Park,37949
2015,BOS,2880694,35564,183931900,Fenway Park,37499
2014,BOS,2956089,36495,134628929,Fenway Park,37499
2013,BOS,2833333,34979,175395500,Fenway Park,37499
2012,BOS,3043003,37568,110386000,Fenway Park,37495
2019,CHC,3094865,38208,220305215,Wrigley Field,41649
2018,CHC,3181089,38794,205373881,Wrigley Field,41072
2017,CHC,3199562,39501,177210667,Wrigley Field,41072
2016,CHC,3232420,39906,176097333,Wrigley Field,41268
2015,CHC,2919122,36039,115306610,Wrigley Field,41072
2014,CHC,2652113,32742,59800500,Wrigley Field,41072
2013,CHC,2642682,32626,67874166,Wrigley Field,41009
2012,CHC,2882756,35590,86159366,Wrigley Field,41009
2019,CHW,1649775,20622,80846333,Guaranteed Rate Field,40615
2018,CHW,1608817,19862,75092000,Guaranteed Rate Field,40615
2017,CHW,1629470,20117,97842000,Guaranteed Rate Field,40615
2016,CHW,1746293,21559,113416000,U.S. Cellular Field,40615
2015,CHW,1755810,21677,112889700,U.S. Cellular Field,40615
2014,CHW,1650821,20381,87475500,U.S. Cellular Field,40615
2013,CHW,1768413,21832,81401900,U.S. Cellular Field,40615
2012,CHW,1965955,24271,118208000,U.S. Cellular Field,40615
2019,CIN,1809075,22334,109737499,Great American Ball Park,42319
2018,CIN,1629356,20116,94587500,Great American Ball Park,42319
2017,CIN,1836917,22678,79315786,Great American Ball Park,42319
2016,CIN,1894085,23384,77329561,Great American Ball Park,42319
2015,CIN,2419506,29870,111572286,Great American Ball Park,42319
2014,CIN,2476664,30576,102230000,Great American Ball Park,42319
2013,CIN,2492101,31151,106255535,Great American Ball Park,42319
2012,CIN,2347251,28978,80309500,Great American Ball Park,42319
2019,CLE,1738642,21465,151257783,Progressive Field,35225
2018,CLE,1926701,23786,143375233,Progressive Field,38000
2017,CLE,2048138,25286,114427167,Progressive Field,38000
2016,CLE,1591667,19650,94511067,Progressive Field,37675
2015,CLE,1388905,17361,59163766,Progressive Field,42487
2014,CLE,1437393,17746,73509399,Progressive Field,42487
2013,CLE,1572926,19419,87342433,Progressive Field,42241
2012,CLE,1603596,19797,78911300,Progressive Field,43429
2019,COL,2993244,36954,145348500,Coors Field,50398
2018,COL,3015880,37233,136658500,Coors Field,50398
